Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
37,Other,United States,Unknown,No,Yes,Often, 6-25,No,Yes,Yes,Unknown,No,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,No,Maybe,Yes,No
44,Other,United States,Unknown,No,No,Rarely, 1000+,No,No,Unknown,No,Unknown,Unknown,Don't know,Unknown,Unknown,No,No,No,No,No,Unknown,No
32,Male,Canada,Unknown,No,No,Rarely, 6-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No
31,Male,United Kingdom,Unknown,Yes,Yes,Often, 26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Unknown,No,Maybe,Maybe,No,Yes
31,Male,United States,Unknown,No,No,Never, 100-500,Yes,Yes,Yes,No,Unknown,Unknown,Don't know,Unknown,No,No,Unknown,Yes,Yes,Yes,Unknown,No
33,Male,United States,Unknown,Yes,No,Sometimes, 6-25,No,Yes,Yes,Unknown,No,Unknown,Don't know,Unknown,No,No,Yes,Yes,No,Maybe,Unknown,No
35,Other,United States,Unknown,Yes,Yes,Sometimes, 1-5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Unknown,Unknown,Unknown,No,No,No,Unknown,No
39,Other,Canada,Unknown,No,No,Never, 1-5,Yes,Yes,No,Yes,No,No,Yes,Unknown,No,No,No,No,No,No,No,No
42,Other,United States,Unknown,Yes,Yes,Sometimes, 100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Unknown,No,Yes,Yes,No,Maybe,No,No
23,Male,Canada,Unknown,No,No,Never, 26-100,No,Yes,Unknown,No,Unknown,Unknown,Don't know,Unknown,No,No,Yes,Yes,Maybe,Maybe,Yes,No
31,Male,United States,Unknown,No,Yes,Sometimes, 6-25,Yes,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,Unknown,Yes,No,No,Unknown,No
29,Male,Bulgaria,Unknown,No,No,Never, 100-500,Yes,Yes,Unknown,Unknown,No,No,Don't know,Unknown,No,No,Yes,Yes,Yes,Yes,Unknown,No
42,Other,United States,Unknown,Yes,Yes,Sometimes, 26-100,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
36,Male,United States,Unknown,Yes,No,Never, 500-1000,No,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,No,No,Yes,Yes,No,No,Unknown,No
27,Male,Canada,Unknown,No,No,Never, 6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Somewhat easy,No,No,Unknown,Unknown,Maybe,Yes,Yes,No
29,Other,United States,Unknown,Yes,Yes,Rarely, 26-100,No,Yes,Yes,Unknown,No,No,Don't know,Somewhat easy,No,No,Yes,Unknown,Maybe,Maybe,Unknown,No
23,Male,United Kingdom,Unknown,No,Yes,Sometimes, 26-100,Yes,Yes,Unknown,No,Unknown,Unknown,Don't know,Very easy,Unknown,No,Unknown,No,Maybe,Maybe,No,No
32,Male,United States,Unknown,No,Yes,Sometimes, 6-25,No,Yes,Yes,Yes,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,Yes,No,No,No,No
46,Male,United States,Yes,Yes,No,Sometimes, 1-5,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes
36,Male,France,Yes,Yes,No,Unknown, 6-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Unknown,Unknown,Maybe,Maybe,Unknown,No
29,Male,United States,No,Yes,Yes,Sometimes, 100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Unknown,No,Unknown,Unknown,No,No,No,No
31,Male,United States,Yes,No,No,Never, 1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Unknown,Unknown,No,Maybe,Yes,No
46,Male,United States,No,No,Yes,Often, 26-100,Yes,Yes,Yes,Yes,No,No,Don't know,Unknown,Unknown,No,Unknown,Yes,No,Maybe,No,No
41,Male,United States,No,No,Yes,Never, 1000+,No,No,Unknown,No,No,Unknown,Don't know,Unknown,Unknown,No,No,No,No,Yes,Unknown,No
33,Male,United States,No,Yes,Yes,Rarely, 26-100,No,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,No,No,Yes,Yes,No,Yes,Unknown,No
35,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,No,Yes,Yes,No,Unknown,No,Very easy,Yes,No,Unknown,Yes,No,Yes,No,No
33,Male,United States,No,No,No,Unknown, 1-5,No,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,No
35,Other,United States,No,Yes,Yes,Rarely, 6-25,Yes,Yes,Yes,Yes,Unknown,Unknown,Don't know,Unknown,No,No,Yes,Yes,Maybe,Maybe,Yes,No
34,Male,United States,No,No,Yes,Sometimes, 26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Don't know,Somewhat difficult,No,No,Unknown,No,No,No,No,No
37,Male,United Kingdom,No,No,No,Sometimes, 6-25,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Unknown,Unknown,No,No,Maybe,No,No
32,Male,United Kingdom,No,No,No,Never, 6-25,Yes,Yes,No,No,No,No,Don't know,Unknown,Yes,Yes,Unknown,Unknown,No,Maybe,No,No
31,Male,United States,Yes,Yes,No,Rarely, 1-5,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes
30,Male,United Kingdom,No,Yes,Yes,Sometimes, 500-1000,Yes,Yes,Unknown,No,No,No,Yes,Somewhat easy,Unknown,No,Unknown,Yes,No,Yes,Unknown,No
42,Male,United States,No,Yes,Yes,Sometimes, 26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Unknown,No,Unknown,Unknown,Maybe,Yes,Unknown,No
40,Other,United States,No,No,Yes,Sometimes, 1-5,No,Yes,Yes,Yes,No,No,Don't know,Unknown,Unknown,No,Unknown,No,No,Maybe,Yes,No
27,Male,United States,No,No,Yes,Rarely, 6-25,No,Yes,No,Yes,No,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Unknown,No
29,Male,Canada,No,No,No,Rarely, 1-5,No,Yes,No,No,No,No,Don't know,Very easy,Yes,Unknown,Unknown,No,No,No,Unknown,No
38,Male,Portugal,No,No,No,Unknown, 100-500,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Unknown,No,Unknown,Unknown,No,Maybe,No,No
50,Other,United States,No,No,No,Unknown, 100-500,No,Yes,Yes,Yes,No,Unknown,Don't know,Unknown,No,No,Unknown,Yes,No,Maybe,Unknown,No
35,Other,United States,No,No,Yes,Rarely, 1000+,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
24,Male,United Kingdom,No,No,Yes,Sometimes, 6-25,No,Yes,No,No,No,No,Don't know,Unknown,Unknown,Unknown,Unknown,No,No,Yes,No,Yes
35,Male,United States,No,No,No,Unknown, 1000+,Yes,Yes,Yes,Unknown,Unknown,Yes,Don't know,Somewhat difficult,Yes,Yes,Unknown,No,No,Maybe,Unknown,No
27,Male,Canada,No,Yes,Yes,Sometimes, 1-5,No,Yes,No,Yes,No,No,Yes,Very difficult,Unknown,No,Unknown,No,No,No,Yes,No
18,Male,Netherlands,No,No,No,Often, 6-25,No,Yes,No,Unknown,No,No,Don't know,Somewhat difficult,Yes,Unknown,No,Unknown,No,No,No,No
30,Male,United States,No,No,Yes,Sometimes, 26-100,No,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,No,No,No,Maybe,Unknown,No
38,Other,United States,No,Yes,Yes,Sometimes, 26-100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,No,No,Yes,No
28,Male,United Kingdom,No,No,No,Unknown, 26-100,No,Yes,Unknown,Unknown,No,No,Don't know,Unknown,No,Unknown,Unknown,Yes,Maybe,Yes,Unknown,No
34,Male,United States,No,No,No,Unknown, 6-25,No,Yes,No,No,No,No,Don't know,Unknown,No,No,Yes,Yes,Maybe,Yes,Unknown,No
26,Other,Canada,Yes,No,No,Sometimes, 1-5,No,Yes,No,Yes,Yes,No,Don't know,Unknown,No,No,Yes,Yes,No,No,Yes,No
30,Male,United States,No,Yes,Yes,Rarely, 26-100,No,Yes,Yes,No,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,Yes,No,No,Unknown,No
22,Other,United States,No,Yes,Yes,Often, 6-25,No,Yes,No,Yes,No,No,Yes,Very difficult,Unknown,No,No,No,No,Maybe,Unknown,No
33,Male,United States,No,No,No,Unknown, 100-500,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Maybe,Unknown,No
31,Other,United States,No,No,No,Unknown, 100-500,Yes,Yes,Unknown,No,Unknown,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,Unknown,Maybe,Maybe,Unknown,No
32,Male,United States,No,No,No,Never, 1-5,Yes,Yes,Unknown,Unknown,No,No,Don't know,Unknown,Unknown,No,Unknown,Yes,No,No,Unknown,No
28,Other,Switzerland,No,No,No,Unknown, 100-500,No,Yes,No,No,No,No,Don't know,Unknown,No,No,No,No,No,Maybe,Unknown,No
27,Other,United States,No,Yes,Yes,Rarely, 26-100,No,Yes,Yes,Yes,No,No,Yes,Unknown,Unknown,No,No,No,No,No,Unknown,No
32,Male,United States,No,Yes,No,Unknown, 6-25,Yes,Yes,Unknown,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
24,Male,United States,No,Yes,Yes,Sometimes, 26-100,Yes,Yes,Unknown,No,No,No,Don't know,Unknown,No,Unknown,Unknown,Yes,Yes,Yes,No,No
26,Male,United States,No,No,No,Unknown, 26-100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Unknown,Yes,Maybe,Yes,Unknown,No
33,Male,Canada,No,Yes,Yes,Often, 6-25,Yes,Yes,Unknown,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Unknown,No
